ledger_period_start,ledger_period_end,ledger_opening_balance,entity_name,posting_date,journal_reference,line_number,gl_account_number,gl_account_name,description,source_document,source_reference,debit_amount,credit_amount,balance_after_posting,currency,source_file_name,ledger_txn_id,source_record_id,cleaning_status,cleaning_notes,standardized_posting_date,standardized_document_date,debit_amount_numeric,credit_amount_numeric,ledger_amount_abs,ledger_debit_credit,ledger_cash_effect,amount_numeric,signed_amount,debit_credit,reference_number,ledger_description,gl_account,normalized_reference,vendor_customer_name,normalized_counterparty,normalized_description,reference_usable,counterparty_usable,description_usable,in_scope_month_flag,entity_in_scope_flag,currency_in_scope_flag,bank_relevant_activity_flag,recon_candidate,recon_exclusion_reason,duplicate_flag,duplicate_group_id,duplicate_review_required
1/1/2024,1/31/2024,150000,MedSupplyCo,1/18/2024,JRN-240118-001,1,101000,Operating Cash - First Regional Bank,Payroll tax remittance,Payroll Tax,,0,3780,169410,USD,ledger_transactions_sample.csv,JRN-240118-001-001,JRN-240118-001-001,CLEAN,,2024-01-18,,0.0,3780.0,3780.0,CR,-3780.0,3780.0,-3780.0,CR,,Payroll tax remittance,Operating Cash - First Regional Bank,,Payroll tax remittance,PAYROLL TAX REMITTANCE,PAYROLL TAX REMITTANCE,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/19/2024,JRN-240119-001,1,101000,Operating Cash - First Regional Bank,AP payment - BioWaste Solutions,AP Payment,PMT-240119-BWS,0,2145,167265,USD,ledger_transactions_sample.csv,JRN-240119-001-001,JRN-240119-001-001,CLEAN,,2024-01-19,,0.0,2145.0,2145.0,CR,-2145.0,2145.0,-2145.0,CR,PMT-240119-BWS,AP payment - BioWaste Solutions,Operating Cash - First Regional Bank,PMT240119BWS,BioWaste Solutions,BIOWASTE SOLUTIONS,AP PAYMENT BIOWASTE SOLUTIONS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/22/2024,JRN-240122-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Regional Care Partners,AR Receipt,RCPT-240122-RCP,13200,0,180465,USD,ledger_transactions_sample.csv,JRN-240122-001-001,JRN-240122-001-001,CLEAN,,2024-01-22,,13200.0,0.0,13200.0,DR,13200.0,13200.0,13200.0,DR,RCPT-240122-RCP,Customer receipt - Regional Care Partners,Operating Cash - First Regional Bank,RCPT240122RCP,Regional Care Partners,REGIONAL CARE PARTNERS,CUSTOMER RECEIPT REGIONAL CARE PARTNERS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/24/2024,JRN-240124-001,1,101000,Operating Cash - First Regional Bank,Partial AP payment - CleanAir Diagnostics,AP Payment,PMT-240124-CAD,0,2200,178265,USD,ledger_transactions_sample.csv,JRN-240124-001-001,JRN-240124-001-001,CLEAN,,2024-01-24,,0.0,2200.0,2200.0,CR,-2200.0,2200.0,-2200.0,CR,PMT-240124-CAD,Partial AP payment - CleanAir Diagnostics,Operating Cash - First Regional Bank,PMT240124CAD,CleanAir Diagnostics,CLEANAIR DIAGNOSTICS,PARTIAL AP PAYMENT CLEANAIR DIAGNOSTICS,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/25/2024,JRN-240125-001,1,101000,Operating Cash - First Regional Bank,Customer receipt - Eastside Imaging,AR Receipt,RCPT-240125-EIM,7560,0,185825,USD,ledger_transactions_sample.csv,JRN-240125-001-001,JRN-240125-001-001,CLEAN,,2024-01-25,,7560.0,0.0,7560.0,DR,7560.0,7560.0,7560.0,DR,RCPT-240125-EIM,Customer receipt - Eastside Imaging,Operating Cash - First Regional Bank,RCPT240125EIM,Eastside Imaging,EASTSIDE IMAGING,CUSTOMER RECEIPT EASTSIDE IMAGING,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/26/2024,JRN-240126-001,1,101000,Operating Cash - First Regional Bank,AP payment - MedSupply Wholesale,AP Payment,PMT-240126-MSW,0,9635,176190,USD,ledger_transactions_sample.csv,JRN-240126-001-001,JRN-240126-001-001,CLEAN,,2024-01-26,,0.0,9635.0,9635.0,CR,-9635.0,9635.0,-9635.0,CR,PMT-240126-MSW,AP payment - MedSupply Wholesale,Operating Cash - First Regional Bank,PMT240126MSW,MedSupply Wholesale,MEDSUPPLY WHOLESALE,AP PAYMENT MEDSUPPLY WHOLESALE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/29/2024,JRN-240129-001,1,101000,Operating Cash - First Regional Bank,Insurance payment - Harbor Insurance,Insurance,PMT-240129-HIC,0,4210,171980,USD,ledger_transactions_sample.csv,JRN-240129-001-001,JRN-240129-001-001,CLEAN,,2024-01-29,,0.0,4210.0,4210.0,CR,-4210.0,4210.0,-4210.0,CR,PMT-240129-HIC,Insurance payment - Harbor Insurance,Operating Cash - First Regional Bank,PMT240129HIC,Harbor Insurance,HARBOR INSURANCE,INSURANCE PAYMENT HARBOR INSURANCE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/29/2024,JRN-240129-002,1,101000,Operating Cash - First Regional Bank,Customer receipt - Westbrook Clinic,AR Receipt,RCPT-240129-WBC,10450,0,182430,USD,ledger_transactions_sample.csv,JRN-240129-002-001,JRN-240129-002-001,CLEAN,,2024-01-29,,10450.0,0.0,10450.0,DR,10450.0,10450.0,10450.0,DR,RCPT-240129-WBC,Customer receipt - Westbrook Clinic,Operating Cash - First Regional Bank,RCPT240129WBC,Westbrook Clinic,WESTBROOK CLINIC,CUSTOMER RECEIPT WESTBROOK CLINIC,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/30/2024,JRN-240130-001,1,101000,Operating Cash - First Regional Bank,Equipment lease payment - Apex Equipment Finance,Lease Payment,PMT-240130-AEF,0,1980,180450,USD,ledger_transactions_sample.csv,JRN-240130-001-001,JRN-240130-001-001,CLEAN,,2024-01-30,,0.0,1980.0,1980.0,CR,-1980.0,1980.0,-1980.0,CR,PMT-240130-AEF,Equipment lease payment - Apex Equipment Finance,Operating Cash - First Regional Bank,PMT240130AEF,Apex Equipment Finance,APEX EQUIPMENT FINANCE,EQUIPMENT LEASE PAYMENT APEX EQUIPMENT FINANCE,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/31/2024,JRN-240131-001,1,101000,Operating Cash - First Regional Bank,Outstanding check - Office Plus,AP Payment,CHK-1060,0,225,180225,USD,ledger_transactions_sample.csv,JRN-240131-001-001,JRN-240131-001-001,CLEAN,,2024-01-31,,0.0,225.0,225.0,CR,-225.0,225.0,-225.0,CR,CHK-1060,Outstanding check - Office Plus,Operating Cash - First Regional Bank,CHK1060,Office Plus,OFFICE PLUS,OUTSTANDING CHECK OFFICE PLUS,Yes,Yes,Yes,Yes,Yes,Yes,No,No,TIMING_ONLY,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/31/2024,JRN-240131-002,1,101000,Operating Cash - First Regional Bank,Customer receipt in transit - Central Lab Copay,AR Receipt,RCPT-TRANSIT-0131,450,0,180675,USD,ledger_transactions_sample.csv,JRN-240131-002-001,JRN-240131-002-001,CLEAN,,2024-01-31,,450.0,0.0,450.0,DR,450.0,450.0,450.0,DR,RCPT-TRANSIT-0131,Customer receipt in transit - Central Lab Copay,Operating Cash - First Regional Bank,RCPTTRANSIT0131,Central Lab Copay,CENTRAL LAB COPAY,CUSTOMER RECEIPT IN TRANSIT CENTRAL LAB COPAY,Yes,Yes,Yes,Yes,Yes,Yes,No,No,TIMING_ONLY,No,,No
1/1/2024,1/31/2024,150000,MedSupplyCo,1/31/2024,JRN-240131-003,1,101000,Operating Cash - First Regional Bank,Customer receipt - CityLab Network,AR Receipt,RCPT-240131-CLN,17770,0,198445,USD,ledger_transactions_sample.csv,JRN-240131-003-001,JRN-240131-003-001,CLEAN,,2024-01-31,,17770.0,0.0,17770.0,DR,17770.0,17770.0,17770.0,DR,RCPT-240131-CLN,Customer receipt - CityLab Network,Operating Cash - First Regional Bank,RCPT240131CLN,CityLab Network,CITYLAB NETWORK,CUSTOMER RECEIPT CITYLAB NETWORK,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,No,,No
